feature,omics_group,prefix
rs_SLC26A3,mRNA,rs_
rs_LGALS12,mRNA,rs_
rs_SMYD1,mRNA,rs_
rs_TRH,mRNA,rs_
rs_SYTL5,mRNA,rs_
rs_KNDC1,mRNA,rs_
rs_CHIT1,mRNA,rs_
rs_HGD,mRNA,rs_
rs_CHST8,mRNA,rs_
rs_VTCN1,mRNA,rs_
rs_ROBO2,mRNA,rs_
rs_MRAP,mRNA,rs_
rs_INSM1,mRNA,rs_
rs_HOTAIR,mRNA,rs_
rs_C14orf180,mRNA,rs_
rs_PKP1,mRNA,rs_
rs_CR2,mRNA,rs_
rs_NPY2R,mRNA,rs_
rs_SYT1,mRNA,rs_
rs_GPR98,mRNA,rs_
rs_ALDH1L1,mRNA,rs_
rs_LOC100271831,mRNA,rs_
rs_BCAS1,mRNA,rs_
rs_HOXC11,mRNA,rs_
rs_LOC728606,mRNA,rs_
rs_HORMAD1,mRNA,rs_
rs_SLPI,mRNA,rs_
rs_HEPACAM2,mRNA,rs_
rs_ANXA8L2,mRNA,rs_
rs_FREM2,mRNA,rs_
rs_ATP1A2,mRNA,rs_
rs_FSIP1,mRNA,rs_
rs_PIK3C2G,mRNA,rs_
rs_CYP4B1,mRNA,rs_
rs_TUBA3D,mRNA,rs_
rs_FOXA1,mRNA,rs_
rs_NAT1,mRNA,rs_
rs_CA4,mRNA,rs_
rs_KRT13,mRNA,rs_
rs_CCL19,mRNA,rs_
rs_PPP4R4,mRNA,rs_
rs_TTYH1,mRNA,rs_
rs_EPYC,mRNA,rs_
rs_SLC28A3,mRNA,rs_
rs_TIMP4,mRNA,rs_
rs_AGTR1,mRNA,rs_
rs_IGDCC3,mRNA,rs_
rs_FGFBP1,mRNA,rs_
rs_HSD17B2,mRNA,rs_
rs_SLC7A2,mRNA,rs_
rs_VSIG2,mRNA,rs_
rs_FLJ45983,mRNA,rs_
rs_KIAA0408,mRNA,rs_
rs_FAM5B,mRNA,rs_
rs_GLDC,mRNA,rs_
rs_FAM196A,mRNA,rs_
rs_PNMT,mRNA,rs_
rs_CYP4X1,mRNA,rs_
rs_NCCRP1,mRNA,rs_
rs_TMPRSS6,mRNA,rs_
rs_KRT23,mRNA,rs_
rs_CNTFR,mRNA,rs_
rs_MS4A1,mRNA,rs_
rs_PAX7,mRNA,rs_
rs_UGT2B15,mRNA,rs_
rs_MMP12,mRNA,rs_
rs_GRB14,mRNA,rs_
rs_FGG,mRNA,rs_
rs_C2CD4A,mRNA,rs_
rs_TFPI2,mRNA,rs_
rs_ZBTB16,mRNA,rs_
rs_ART3,mRNA,rs_
rs_NPY5R,mRNA,rs_
rs_DCDC2,mRNA,rs_
rs_PCSK1N,mRNA,rs_
rs_UGT2B28,mRNA,rs_
rs_PPP1R14C,mRNA,rs_
rs_ONECUT2,mRNA,rs_
rs_DCX,mRNA,rs_
rs_RGS22,mRNA,rs_
rs_GJB1,mRNA,rs_
rs_C1orf173,mRNA,rs_
rs_RBM24,mRNA,rs_
rs_TRPV6,mRNA,rs_
rs_ATP13A4,mRNA,rs_
rs_AKR7A3,mRNA,rs_
rs_C19orf33,mRNA,rs_
rs_KRT4,mRNA,rs_
rs_DES,mRNA,rs_
rs_TMPRSS3,mRNA,rs_
rs_ZIC2,mRNA,rs_
rs_OGN,mRNA,rs_
rs_C3orf57,mRNA,rs_
rs_CACNG4,mRNA,rs_
rs_LOC642587,mRNA,rs_
rs_ATRNL1,mRNA,rs_
rs_AFP,mRNA,rs_
rs_NDP,mRNA,rs_
rs_GABRB3,mRNA,rs_
rs_LRG1,mRNA,rs_
rs_AREG,mRNA,rs_
rs_GRIK3,mRNA,rs_
rs_TPRG1,mRNA,rs_
rs_AKR1B10,mRNA,rs_
rs_IGJ,mRNA,rs_
rs_PSCA,mRNA,rs_
rs_DKK1,mRNA,rs_
rs_GRIA4,mRNA,rs_
rs_CYP2A7,mRNA,rs_
rs_COMP,mRNA,rs_
rs_TSIX,mRNA,rs_
rs_GRM4,mRNA,rs_
rs_FIGF,mRNA,rs_
rs_HRASLS5,mRNA,rs_
rs_FAT2,mRNA,rs_
rs_CCNO,mRNA,rs_
rs_ADCY5,mRNA,rs_
rs_TDRD1,mRNA,rs_
rs_F7,mRNA,rs_
rs_TPSG1,mRNA,rs_
rs_C6,mRNA,rs_
rs_KRT6C,mRNA,rs_
rs_ACTG2,mRNA,rs_
rs_LGR6,mRNA,rs_
rs_S100B,mRNA,rs_
rs_ADH1C,mRNA,rs_
rs_FUT3,mRNA,rs_
rs_CARTPT,mRNA,rs_
rs_POF1B,mRNA,rs_
rs_PRSS21,mRNA,rs_
rs_FAM83E,mRNA,rs_
rs_MAPK4,mRNA,rs_
rs_PTCHD1,mRNA,rs_
rs_IRX1,mRNA,rs_
rs_SYNPO2L,mRNA,rs_
rs_GLYAT,mRNA,rs_
rs_MYT1,mRNA,rs_
rs_PRODH,mRNA,rs_
rs_SHISA9,mRNA,rs_
rs_DEFB1,mRNA,rs_
rs_VIPR2,mRNA,rs_
rs_SOX2,mRNA,rs_
rs_AR,mRNA,rs_
rs_TP63,mRNA,rs_
rs_IYD,mRNA,rs_
rs_PLCH1,mRNA,rs_
rs_SLC27A6,mRNA,rs_
rs_HPX,mRNA,rs_
rs_PP14571,mRNA,rs_
rs_DLX2,mRNA,rs_
rs_SPAG17,mRNA,rs_
rs_PRG4,mRNA,rs_
rs_MMP7,mRNA,rs_
rs_UGT8,mRNA,rs_
rs_NEURL,mRNA,rs_
rs_AFF3,mRNA,rs_
rs_MS4A8B,mRNA,rs_
rs_APOD,mRNA,rs_
rs_TMEM213,mRNA,rs_
rs_TLX1,mRNA,rs_
rs_ZFP57,mRNA,rs_
rs_FOSB,mRNA,rs_
rs_TUBA3E,mRNA,rs_
rs_CHGB,mRNA,rs_
rs_HP,mRNA,rs_
rs_FAM3D,mRNA,rs_
rs_RERGL,mRNA,rs_
rs_CXADRP3,mRNA,rs_
rs_CHST9,mRNA,rs_
rs_CD36,mRNA,rs_
rs_CYP4F11,mRNA,rs_
rs_CD177,mRNA,rs_
rs_TBC1D3G,mRNA,rs_
rs_NKX2-2,mRNA,rs_
rs_S100A2,mRNA,rs_
rs_SPDEF,mRNA,rs_
rs_GLYATL1,mRNA,rs_
rs_MMP10,mRNA,rs_
rs_RELN,mRNA,rs_
rs_SMOC1,mRNA,rs_
rs_PCDHA11,mRNA,rs_
rs_BCL11A,mRNA,rs_
rs_RET,mRNA,rs_
rs_ANKRD43,mRNA,rs_
rs_WT1,mRNA,rs_
rs_PLA2G2D,mRNA,rs_
rs_KCNF1,mRNA,rs_
rs_CCL18,mRNA,rs_
rs_CHI3L2,mRNA,rs_
rs_SLC7A10,mRNA,rs_
rs_NTNG1,mRNA,rs_
rs_FXYD1,mRNA,rs_
rs_SLC6A15,mRNA,rs_
rs_MKRN3,mRNA,rs_
rs_ZNF385B,mRNA,rs_
rs_CLDN8,mRNA,rs_
rs_FAM83A,mRNA,rs_
rs_SHISA2,mRNA,rs_
rs_MYEOV,mRNA,rs_
rs_SBSN,mRNA,rs_
rs_AKR1C1,mRNA,rs_
rs_ABCC12,mRNA,rs_
rs_NOVA1,mRNA,rs_
rs_SOX11,mRNA,rs_
rs_FUT6,mRNA,rs_
rs_SCRG1,mRNA,rs_
rs_AK5,mRNA,rs_
rs_TTC36,mRNA,rs_
rs_TOX3,mRNA,rs_
rs_IRX4,mRNA,rs_
rs_CA3,mRNA,rs_
rs_SCNN1G,mRNA,rs_
rs_TPSD1,mRNA,rs_
rs_PCDHA12,mRNA,rs_
rs_TSPAN1,mRNA,rs_
rs_LOC389033,mRNA,rs_
rs_PART1,mRNA,rs_
rs_CRYM,mRNA,rs_
rs_HOXC10,mRNA,rs_
rs_DBC1,mRNA,rs_
rs_SLC6A11,mRNA,rs_
rs_ACADL,mRNA,rs_
rs_CXCL14,mRNA,rs_
rs_MKX,mRNA,rs_
rs_CLDN19,mRNA,rs_
rs_FGF10,mRNA,rs_
rs_MMP11,mRNA,rs_
rs_NTS,mRNA,rs_
rs_KCNG1,mRNA,rs_
rs_PITX1,mRNA,rs_
rs_DOK7,mRNA,rs_
rs_CAPN9,mRNA,rs_
rs_RASAL1,mRNA,rs_
rs_MAGEA1,mRNA,rs_
rs_RHCG,mRNA,rs_
rs_SCGN,mRNA,rs_
rs_OSR1,mRNA,rs_
rs_S100A1,mRNA,rs_
rs_CITED1,mRNA,rs_
rs_ADAMDEC1,mRNA,rs_
rs_PLP1,mRNA,rs_
rs_ANO3,mRNA,rs_
rs_NELL2,mRNA,rs_
rs_CAPN13,mRNA,rs_
rs_HAPLN1,mRNA,rs_
rs_NMU,mRNA,rs_
rs_EMX1,mRNA,rs_
rs_GPRIN2,mRNA,rs_
rs_C19orf21,mRNA,rs_
rs_CSN3,mRNA,rs_
rs_C2orf82,mRNA,rs_
rs_GABBR2,mRNA,rs_
rs_PLA2G3,mRNA,rs_
rs_CLGN,mRNA,rs_
rs_MYOC,mRNA,rs_
rs_GPR26,mRNA,rs_
rs_VWDE,mRNA,rs_
rs_ANGPTL7,mRNA,rs_
rs_ACTA1,mRNA,rs_
rs_LOC283392,mRNA,rs_
rs_C4BPA,mRNA,rs_
rs_MAOB,mRNA,rs_
